x,Predicted,Predicted_Std
-3.0,85.42076318108855,2.5074818816141375
-2.5,41.68832232051935,2.0333090164521805
-2.0,17.385342312162358,2.0258873550513896
-1.5,6.584547706005739,2.0097831314273584
-1.0,4.352866983954556,1.9901969939731043
-0.5,6.70919758110785,1.9882557656231556
0.0,10.582170907035746,1.9894146365597067
0.5,13.767917367056521,1.985100042245672
1.0,14.88783138351369,1.9828358920295077
1.5,13.346336417053084,1.987715322434415
2.0,9.288649987899927,1.992403835275838
2.5,3.5585486971359153,1.991526427063807
3.0,-2.343866752023697,1.998128912873033
3.5,-6.304406532953028,2.0256924443357724
4.0,-5.637026674338472,2.0478499592891577
4.5,2.8739359610983684,2.093266565454976
5.0,22.93152869787776,2.7806114064121084
